cik,revenue,rd_spend,rd_ratio,ai_total_mentions,exploratory_mentions,strategic_mentions,implementation_mentions,capability_mentions,infrastructure_mentions,adoption_phase,opportunity_score,key_mentions
1652044,257637000000.0,36210000000.0,14.054658298303426,0,0,0,0,0,0,Undetermined,58.1,[]
320193,265595000000.0,31370000000.0,11.81121632560854,0,0,0,0,0,0,Undetermined,53.6,[]
789019,36148000000.0,7544000000.0,20.86975766294124,0,0,0,0,0,0,Undetermined,40.8,[]
14272,35958000000.0,7968000000.0,22.159185716669448,0,0,0,0,0,0,Undetermined,40.8,[]
1730168,20848000000.0,9310000000.0,44.65656178050652,0,0,0,0,0,0,Undetermined,36.3,[]
1559720,8622000000.0,1518000000.0,17.606123869171885,0,0,0,0,0,0,Undetermined,32.6,[]
6281,6200942000.0,1487863000.0,23.994144760586376,0,0,0,0,0,0,Undetermined,31.9,[]
6951,5162000000.0,3233000000.0,62.63076327005037,0,0,0,0,0,0,Undetermined,31.5,[]
769397,4492000000.0,1092000000.0,24.309884238646482,0,0,0,0,0,0,Undetermined,31.3,[]
2488,3913000000.0,4744000000.0,121.23690263225146,0,0,0,0,0,0,Undetermined,31.2,[]
1099800,4053700000.0,781900000.0,19.288551200138144,0,0,0,0,0,0,Undetermined,31.2,[]
813672,3285283000.0,1157067000.0,35.21970557787564,0,0,0,0,0,0,Undetermined,31.0,[]
1069183,1507381000.0,307008000.0,20.366980876102325,0,0,0,0,0,0,Undetermined,30.5,[]
32604,1660000000.0,781000000.0,47.04819277108434,0,0,0,0,0,0,Undetermined,30.5,[]
1013462,1662635000.0,393755000.0,23.68258818080938,0,0,0,0,0,0,Undetermined,30.5,[]
93410,150566000000.0,320000000.0,0.21253138158681242,0,0,0,0,0,0,Undetermined,30.4,[]
1463101,947670000.0,150925000.0,15.925902476600504,0,0,0,0,0,0,Undetermined,30.3,[]
1093557,693600000.0,412900000.0,59.529988465974625,0,0,0,0,0,0,Undetermined,30.2,[]
1086222,668724000.0,350631000.0,52.432842248820144,0,0,0,0,0,0,Undetermined,30.2,[]
1725057,203700000.0,112000000.0,54.98281786941581,0,0,0,0,0,0,Undetermined,30.1,[]
1097149,350836000.0,269324000.0,76.76635236976821,0,0,0,0,0,0,Undetermined,30.1,[]
